Wednesday,5/12/2018,1 USD =,70.6525 INR,
Tuesday,4/12/2018,1 USD =,70.6403 INR,
Monday,3/12/2018,1 USD =,70.4822 INR,
Sunday,2/12/2018,1 USD =,69.7703 INR,
Saturday,1/12/2018,1 USD =,69.6475 INR,
Friday,30/11/2018,1 USD =,69.7196 INR,
Thursday,29/11/2018,1 USD =,69.9347 INR,
Wednesday,28/11/2018,1 USD =,70.61 INR,
Tuesday,27/11/2018,1 USD =,70.8961 INR,
Monday,26/11/2018,1 USD =,70.8193 INR,
Sunday,25/11/2018,1 USD =,70.6471 INR,
Saturday,24/11/2018,1 USD =,70.576 INR,
Friday,23/11/2018,1 USD =,70.6765 INR,
Thursday,22/11/2018,1 USD =,70.8422 INR,
Wednesday,21/11/2018,1 USD =,71.1775 INR,
Tuesday,20/11/2018,1 USD =,71.4225 INR,
Monday,19/11/2018,1 USD =,71.7017 INR,
Sunday,18/11/2018,1 USD =,71.785 INR,
Saturday,17/11/2018,1 USD =,71.9807 INR,
Friday,16/11/2018,1 USD =,71.7846 INR,
Thursday,15/11/2018,1 USD =,71.9011 INR,
Wednesday,14/11/2018,1 USD =,72.3784 INR,
Tuesday,13/11/2018,1 USD =,72.5632 INR,
Monday,12/11/2018,1 USD =,72.9286 INR,
Sunday,11/11/2018,1 USD =,72.5471 INR,
Saturday,10/11/2018,1 USD =,72.4812 INR,
Friday,9/11/2018,1 USD =,72.48 INR,
Thursday,8/11/2018,1 USD =,72.9076 INR,
Wednesday,7/11/2018,1 USD =,72.3832 INR,
Tuesday,6/11/2018,1 USD =,73.0829 INR,
Monday,5/11/2018,1 USD =,72.8658 INR,
Sunday,4/11/2018,1 USD =,72.9402 INR,
Saturday,3/11/2018,1 USD =,72.9154 INR,
Friday,2/11/2018,1 USD =,72.9154 INR,
Thursday,1/11/2018,1 USD =,73.3172 INR,
Wednesday,31/10/2018,1 USD =,74.0801 INR,
Tuesday,30/10/2018,1 USD =,73.6592 INR,
Monday,29/10/2018,1 USD =,73.6104 INR,
Sunday,28/10/2018,1 USD =,73.1348 INR,
Saturday,27/10/2018,1 USD =,73.1384 INR,
Friday,26/10/2018,1 USD =,73.1251 INR,
Thursday,25/10/2018,1 USD =,73.2288 INR,
Wednesday,24/10/2018,1 USD =,73.2305 INR,
Tuesday,23/10/2018,1 USD =,73.2321 INR,
Monday,22/10/2018,1 USD =,73.6649 INR,
Sunday,21/10/2018,1 USD =,73.4725 INR,
Saturday,20/10/2018,1 USD =,73.4734 INR,
Friday,19/10/2018,1 USD =,73.4734 INR,
Thursday,18/10/2018,1 USD =,73.52 INR,
Wednesday,17/10/2018,1 USD =,73.5823 INR,
Tuesday,16/10/2018,1 USD =,73.4657 INR,
Monday,15/10/2018,1 USD =,73.7677 INR,
Sunday,14/10/2018,1 USD =,73.6879 INR,
Saturday,13/10/2018,1 USD =,73.6859 INR,
Friday,12/10/2018,1 USD =,73.6859 INR,
Thursday,11/10/2018,1 USD =,74.049 INR,
Wednesday,10/10/2018,1 USD =,74.249 INR,
Tuesday,9/10/2018,1 USD =,74.3407 INR,
Monday,8/10/2018,1 USD =,73.8812 INR,
Sunday,7/10/2018,1 USD =,73.8906 INR,
Saturday,6/10/2018,1 USD =,74.09 INR,
Friday,5/10/2018,1 USD =,74.0999 INR,
Thursday,4/10/2018,1 USD =,73.6298 INR,
Wednesday,3/10/2018,1 USD =,73.3476 INR,
Tuesday,2/10/2018,1 USD =,72.924 INR,
Monday,1/10/2018,1 USD =,73.3672 INR,
Sunday,30/09/2018,1 USD =,72.5142 INR,
Saturday,29/09/2018,1 USD =,72.5151 INR,
Friday,28/09/2018,1 USD =,72.5151 INR,
Thursday,27/09/2018,1 USD =,72.6169 INR,
Wednesday,26/09/2018,1 USD =,72.4179 INR,
Tuesday,25/09/2018,1 USD =,72.6804 INR,
Monday,24/09/2018,1 USD =,72.6888 INR,
Sunday,23/09/2018,1 USD =,72.2416 INR,
Saturday,22/09/2018,1 USD =,72.2361 INR,
Friday,21/09/2018,1 USD =,72.2149 INR,
Thursday,20/09/2018,1 USD =,72.0373 INR,
Wednesday,19/09/2018,1 USD =,72.0138 INR,
Tuesday,18/09/2018,1 USD =,72.8528 INR,
Monday,17/09/2018,1 USD =,72.5418 INR,
Sunday,16/09/2018,1 USD =,72.1013 INR,
Saturday,15/09/2018,1 USD =,72.1047 INR,
Friday,14/09/2018,1 USD =,72.1047 INR,
Thursday,13/09/2018,1 USD =,72.0004 INR,
Wednesday,12/09/2018,1 USD =,71.9358 INR,
Tuesday,11/09/2018,1 USD =,72.6584 INR,
Monday,10/09/2018,1 USD =,72.5755 INR,
Sunday,9/09/2018,1 USD =,72.1041 INR,
Saturday,8/09/2018,1 USD =,72.1033 INR,
Friday,7/09/2018,1 USD =,72.1035 INR,
Thursday,6/09/2018,1 USD =,71.9432 INR,
Wednesday,5/09/2018,1 USD =,71.757 INR,
Tuesday,4/09/2018,1 USD =,71.5866 INR,
Monday,3/09/2018,1 USD =,71.1524 INR,
Sunday,2/09/2018,1 USD =,71.0029 INR,
